time,symbol,close,signal,confidence,reason,would_entry,would_stop,would_target,would_shares,would_risk
2026-06-29T15:14:00+00:00,PYPL,44.2,HOLD,0.006,"[HOLD conf=0.01] ORB=SELL(0.58), VWAP=BUY(0.68), EMA=HOLD(0.00)",,,,,
2026-06-29T15:14:00+00:00,META,563.68,HOLD,0.231,"[HOLD conf=0.23] ORB=HOLD(0.00), VWAP=SELL(0.66), EMA=HOLD(0.00) [VETOED: long_only mode]",,,,,
2026-06-29T15:14:00+00:00,TSLA,396.89,HOLD,0.241,"[HOLD conf=0.24] ORB=HOLD(0.00), VWAP=SELL(0.69), EMA=HOLD(0.00) [VETOED: long_only mode]",,,,,
2026-06-29T15:14:00+00:00,AMD,519.81,HOLD,0.192,"[HOLD conf=0.19] ORB=HOLD(0.00), VWAP=BUY(0.55), EMA=HOLD(0.00)",,,,,
2026-06-29T15:14:00+00:00,MDLZ,59.56,HOLD,0.089,"[HOLD conf=0.09] ORB=SELL(0.60), VWAP=BUY(0.94), EMA=HOLD(0.00)",,,,,
2026-06-29T15:14:00+00:00,TSCO,31.395,HOLD,0.164,"[HOLD conf=0.16] ORB=HOLD(0.00), VWAP=SELL(0.47), EMA=HOLD(0.00) [VETOED: long_only mode]",,,,,
2026-06-29T15:14:00+00:00,WMT,115.02,HOLD,0.017,"[HOLD conf=0.02] ORB=SELL(0.55), VWAP=BUY(0.58), EMA=HOLD(0.00) [VETOED: long_only mode]",,,,,
2026-06-29T15:14:00+00:00,FCX,61.205,HOLD,0.196,"[HOLD conf=0.20] ORB=HOLD(0.00), VWAP=SELL(0.56), EMA=HOLD(0.00) [VETOED: long_only mode]",,,,,
2026-06-29T15:14:00+00:00,KO,83.12,HOLD,0.199,"[HOLD conf=0.20] ORB=HOLD(0.00), VWAP=SELL(0.57), EMA=HOLD(0.00) [VETOED: long_only mode]",,,,,
2026-06-29T15:14:00+00:00,SCHW,90.77,HOLD,0.231,"[HOLD conf=0.23] ORB=HOLD(0.00), VWAP=SELL(0.66), EMA=HOLD(0.00) [VETOED: long_only mode]",,,,,
2026-06-29T15:14:00+00:00,MU,1074.31,HOLD,0.203,"[HOLD conf=0.20] ORB=HOLD(0.00), VWAP=BUY(0.58), EMA=HOLD(0.00)",,,,,
2026-06-29T15:14:00+00:00,MSFT,372.795,HOLD,0.043,"[HOLD conf=0.04] ORB=SELL(0.59), VWAP=BUY(0.55), EMA=HOLD(0.00) [VETOED: long_only mode]",,,,,
2026-06-29T15:14:00+00:00,AMZN,242.71,HOLD,0.161,"[HOLD conf=0.16] ORB=HOLD(0.00), VWAP=BUY(0.46), EMA=HOLD(0.00)",,,,,
2026-06-29T15:14:00+00:00,OXY,49.84,HOLD,0.22,"[HOLD conf=0.22] ORB=HOLD(0.00), VWAP=SELL(0.63), EMA=HOLD(0.00) [VETOED: long_only mode]",,,,,
2026-06-29T15:14:00+00:00,NFLX,75.55,HOLD,0.227,"[HOLD conf=0.23] ORB=HOLD(0.00), VWAP=BUY(0.65), EMA=HOLD(0.00)",,,,,
2026-06-29T15:14:00+00:00,GOOGL,350.25,HOLD,0.178,"[HOLD conf=0.18] ORB=HOLD(0.00), VWAP=SELL(0.51), EMA=HOLD(0.00) [VETOED: long_only mode]",,,,,
2026-06-29T15:19:00+00:00,OXY,49.81,HOLD,0.428,"[HOLD conf=0.43] ORB=SELL(0.51), VWAP=SELL(0.64), EMA=HOLD(0.00) [VETOED: long_only mode]",,,,,
2026-06-29T15:19:00+00:00,MDT,81.455,HOLD,0.203,"[HOLD conf=0.20] ORB=HOLD(0.00), VWAP=BUY(0.58), EMA=HOLD(0.00)",,,,,
2026-06-29T15:19:00+00:00,GOOGL,351.26,HOLD,0.266,"[HOLD conf=0.27] ORB=HOLD(0.00), VWAP=SELL(0.76), EMA=HOLD(0.00) [VETOED: long_only mode]",,,,,
2026-06-29T15:19:00+00:00,META,563.99,HOLD,0.217,"[HOLD conf=0.22] ORB=HOLD(0.00), VWAP=SELL(0.62), EMA=HOLD(0.00) [VETOED: long_only mode]",,,,,
2026-06-29T15:19:00+00:00,XOM,136.04,HOLD,0.182,"[HOLD conf=0.18] ORB=HOLD(0.00), VWAP=SELL(0.52), EMA=HOLD(0.00) [VETOED: long_only mode]",,,,,
2026-06-29T15:19:00+00:00,MSFT,372.59,HOLD,0.047,"[HOLD conf=0.05] ORB=SELL(0.60), VWAP=BUY(0.55), EMA=HOLD(0.00) [VETOED: long_only mode]",,,,,
2026-06-29T15:19:00+00:00,KO,83.22,HOLD,0.164,"[HOLD conf=0.16] ORB=HOLD(0.00), VWAP=SELL(0.47), EMA=HOLD(0.00) [VETOED: long_only mode]",,,,,
2026-06-29T15:19:00+00:00,ABT,93.77,HOLD,0.227,"[HOLD conf=0.23] ORB=HOLD(0.00), VWAP=BUY(0.65), EMA=HOLD(0.00)",,,,,
2026-06-29T15:19:00+00:00,SCHW,90.7,HOLD,0.182,"[HOLD conf=0.18] ORB=HOLD(0.00), VWAP=BUY(0.52), EMA=HOLD(0.00)",,,,,
2026-06-29T15:19:00+00:00,MU,1068.2,HOLD,0.182,"[HOLD conf=0.18] ORB=HOLD(0.00), VWAP=BUY(0.52), EMA=HOLD(0.00)",,,,,
2026-06-29T15:19:00+00:00,AMZN,242.54,HOLD,0.227,"[HOLD conf=0.23] ORB=HOLD(0.00), VWAP=SELL(0.65), EMA=HOLD(0.00) [VETOED: long_only mode]",,,,,
2026-06-29T15:19:00+00:00,TSCO,31.49,HOLD,0.227,"[HOLD conf=0.23] ORB=HOLD(0.00), VWAP=BUY(0.65), EMA=HOLD(0.00)",,,,,
2026-06-29T15:19:00+00:00,AMD,520.48,HOLD,0.192,"[HOLD conf=0.19] ORB=HOLD(0.00), VWAP=BUY(0.55), EMA=HOLD(0.00)",,,,,
2026-06-29T15:19:00+00:00,WMT,115.26,HOLD,0.227,"[HOLD conf=0.23] ORB=HOLD(0.00), VWAP=SELL(0.65), EMA=HOLD(0.00) [VETOED: long_only mode]",,,,,
2026-06-29T15:19:00+00:00,TSLA,395.88,HOLD,0.186,"[HOLD conf=0.19] ORB=HOLD(0.00), VWAP=SELL(0.53), EMA=HOLD(0.00) [VETOED: long_only mode]",,,,,
2026-06-29T15:19:00+00:00,PYPL,44.24,HOLD,0.035,"[HOLD conf=0.04] ORB=SELL(0.55), VWAP=BUY(0.53), EMA=HOLD(0.00) [VETOED: long_only mode]",,,,,
2026-06-29T15:19:00+00:00,NFLX,75.625,HOLD,0.182,"[HOLD conf=0.18] ORB=HOLD(0.00), VWAP=BUY(0.52), EMA=HOLD(0.00)",,,,,
2026-06-29T15:19:00+00:00,MDLZ,59.695,HOLD,0.013,"[HOLD conf=0.01] ORB=SELL(0.57), VWAP=BUY(0.69), EMA=HOLD(0.00)",,,,,
2026-06-29T15:19:00+00:00,FCX,61.08,HOLD,0.22,"[HOLD conf=0.22] ORB=HOLD(0.00), VWAP=SELL(0.63), EMA=HOLD(0.00) [VETOED: long_only mode]",,,,,
2026-06-29T15:24:00+00:00,META,565.46,HOLD,0.304,"[HOLD conf=0.30] ORB=HOLD(0.00), VWAP=SELL(0.51), EMA=SELL(0.50) [VETOED: long_only mode]",,,,,
2026-06-29T15:24:00+00:00,SCHW,90.71,HOLD,0.366,"[HOLD conf=0.37] ORB=HOLD(0.00), VWAP=SELL(0.68), EMA=SELL(0.51) [VETOED: long_only mode]",,,,,
